Clinical Vignettes,Rationale,acuity
"“I ran out of my blood pressure medicine, and my doctor is on vacation. Can someone here write me a prescription?” requests a 56-year-old male with a history of HTN. Vital signs: BP 128/84, HR 76, RR 16, T 97˚F.","ESI level  5: No resources. The patient needs  a prescription refill and has no other medical complaints. His blood pressure is controlled with his current medication. If at triage his blood pressure was 188/124 and he complained of a headache,, then he would meet the criteria for a high-risk situation and be assigned to ESI level 2. If this patient’s BP was elevated and the patient had no complaints, he or she would remain an ESI level 5. The blood pressure would be repeated and would most likely not be  treated in the ED or treated with PO medications.",5
"A 41-year-old male involved in a bicycle accident walks into the emergency department with his right arm in a sling. He tells you that he fell off his bike and landed on his right arm. His is complaining of pain in the wrist area and has a 2-centimeter laceration on his left elbow. “My helmet saved me,” he tells you.","ESI level 3: Two or more resources. At a minimum, this patient will require an x ray of his right arm and suturing of his left elbow laceration.",3
"A 32-year-old female presents to the emergency department complaining of shortness of breath for several hours. No past medical history, +smoker. Vital signs: RR 32, HR 96, BP 126/80, SpO2 93% on room air, T 98.6˚F. No allergies, current medications include vitamins and birth control pills.","ESI level 2:  High  risk. This 32-year-old female with new-onset shortness of breath is on birth control pills. She is a smoker and is exhibiting signs and symptoms of respiratory distress (SpO2 and respiratory rate.) Based on history and signs and symptoms, a pulmonary embolus, as well as other potential causes for her respiratory distress, must be ruled out.",2
"A 60-year-old man requests to see a doctor because his right foot hurts. On exam the great toe and foot skin is red, warm, swollen, and tender to touch. He denies injury. past medical history includes type 2 diabetes, and psoriasis. Vital signs: T 99.4˚F, RR 18, HR 82, BP 146/70, SpO2 99%.","ESI level 3: Two or more resources. This patient has a significant medical history, and based on his presentation, he will require two or more resources, which could include labs and IV antibiotics.",3
"A 52-year-old female requests to see a doctor for a possible urinary tract infection (UTI). She is complaining of dysuria and frequency. She denies abdominal pain or vaginal discharge. No allergies, takes vitamins, and has no significant past medical history. Vital signs: T 97.4˚F, HR 78, RR 14, BP 142/70.","ESI level 4: One resource. She will need one resource – lab, which will include a urinalysis and urine culture. She most likely has a UTI that will be treated with oral medications.",4
"""My right breast is so sore, my nipples are cracked, and now I have a fever. Do you think I will have to stop nursing my baby?” asks a tearful 34-year-old female. She is 3 months post partum and has recently returned to work part- time. Vital signs: T 102.8˚F, HR 90, RR 18, BP 108/60, pain 5/10. No past medical history, taking multivitamins, and is allergic to penicillin.","ESI level 3: Two or more resources. At a minimum, she will require labs and IV antibiotics.",3
"EMS arrives with a 45-year-old woman with asthma who has had  a  cold  for  week.  She started wheezing a few days ago and then developed a cough and a fever of 103. Vital signs: T 101.6˚F, HR 92, RR 24, BP 148/86, SpO2 97%.","ESI level 3: Two or more resources. This history sounds more like pneumonia. Because the patient is not in acute respiratory distress, he or she doesn’t meet ESI level-2 criteria. This patient will require labs, a chest x ray, and perhaps IV antibiotics.",3
"“I think I have food poisoning,” reports an otherwise healthy 33-year-old female. “I have been vomiting all night, and now I have diarrhea.” The patient admits to abdominal cramping that she rates as 5/10. She denies fever or chills. Vital signs: T 96.8˚F, HR 96, RR 16, BP 116/74.","ESI level 3: Two or more resources. Lab studies, IV fluid, and an IV antiemetic are three of the resources this patient will require. The patient is not high risk or in severe pain or distress.",3
"“My migraine started early this morning, and I can’t get it under control. I just keep vomiting. Can I lie down somewhere?” asks a 37-year-old female. Past medical history migraines, no allergies. Pain 6/10, T 98˚F, RR 20, HR 102, BP 118/62, SpO2 98%.","ESI level 3: Two  or  more  resources.  A patient with a known history of migraines with vomiting will require pain medication, an antiemetic, and fluid replacement. The pain is not severe, 6/10. This patient is not high risk.",3
"""The smoke was so bad; I just couldn’t breathe.” reports a 26-year-old female who entered her burning apartment building to try to rescue her cat. She is hoarse and complaining of a sore throat and a cough. You notice that she is working hard at breathing. History of asthma; uses inhalers when needed. No known drug allergies. Vital signs: T 98˚F, RR 40, HR 114, BP 108/74. ","ESI  level  1:  Requires   immediate lifesaving intervention. From the  history and presentation, this patient appears to have a significant airway injury and will require immediate intubation. Her respiratory rate is 40, and she is in respiratory distress.",1
"“I’m 7 weeks pregnant, and every time I try to eat something, I throw up,” reports a 27-year- old female. “My doctor sent me to the emergency department because he thinks I am getting dehydrated. T 97˚F, RR 18, HR 104, BP 104/68, SpO2 99%. Pain 0/10. Lips are dry and cracked.","ESI level 3: Two or more resources. Lab studies, IV fluid, and an IV antiemetic are three of the resources this patient will require. She is showing signs of dehydration.",3
"“I have this aching pain in my left leg,” reports an obese 52-year-old female. “The whole ride home, it just ached and ached.” The patient  tells you that she has been sitting in a car for the last 2 days. “We drove my daughter to college, and I thought it was the heat getting to me.” She denies any other complaints. Vital signs: BP 148/90, HR 86, RR 16, T 98˚F.","ESI level 3: Two or more resources. At a minimum, she will require labs and noninvasive vascular studies of her lower leg. She should be placed in a wheelchair with her leg elevated and instructed not to walk until the doctor has seen her.",3
